Reference, Quantity, Value, Footprint, Datasheet, Spice_Model, Spice_Netlist_Enabled, Spice_Primitive, Spice_Lib_File, Spice_Node_Sequence, Arrow Part Number, Arrow Price/Stock, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
D1 D2 D3 D4 D5 D6 ,6,"RB161QS-40","Diodes:RB161QS-40T18R","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb161qs-40-e.pdf","RB161QS-40","Y","D","/home/abode/data/work/circuits_design/ngspice/vendors/Diodes.lib","2 1","","","","","","","",""
J1 ,1,"282856-8","Connectors:282856-8","https://www.te.com/global-en/product-1986715-8.datasheet.pdf"
J2 ,1,"Raspberry_Pi_2_3","Modules:Raspberry pi 4","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf"
J3 J7 ,2,"1-350944-0","Connectors:1-350944-0","https://www.te.com/global-en/product-1-350944-0.datasheet.pdf"
J4 J5 J6 J8 ,4,"640445-2","Connectors:640445-2","https://componentsearchengine.com/Datasheets/2/640445-2.pdf","","","","","","640445-2","https://www.arrow.com/en/products/640445-2/te-connectivity?region=europe","2 way friction lock header,3.96mm pitch TE Connectivity MTA-156 Series, 3.96mm Pitch 2 Way 1 Row Straight PCB Header, Through Hole, Solder Termination","11.049","TE Connectivity","640445-2","5716404452","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/640445-2?qs=P8zzrVhehau7EdfErby3cQ%3D%3D"
L1 L2 ,2,"2.2u","Inductors:SBC9-2R2-792",""
L3 ,1,"3.3u","Inductors:SBC9-2R2-792",""
L4 ,1,"6.8u","Inductors:SBC9-2R2-792",""
M1 M2 M3 M4 M9 M10 M11 M12 ,8,"CSD18510KTTT","E-MOSFETs:CSD18510KTTT","https://www.ti.com/lit/gpn/csd18510ktt","csd18510ktt","Y","X","/home/abode/data/work/circuits_design/ngspice/vendors/E-MOSFETs.lib","2 1 3","","","","","","","",""
M16 M24 ,2,"RHP020N06","E-MOSFETs:RHP020N06T100","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/rhp020n06.pdf","RHP020N06","Y","X","/home/abode/data/work/circuits_design/ngspice/vendors/E-MOSFETs.lib","","","","","","","","",""
M17 M26 ,2,"Motor_DC","",""
M18 M19 M20 M25 M27 M28 ,6,"Motor_Servo","","http://forums.parallax.com/uploads/attachments/46831/74481.png"
M5 M6 M7 M8 M13 M14 M15 M21 M22 M23 ,10,"Stepper_Motor_bipolar","Connectors:1-350944-0","http://www.infineon.com/dgdl/Application-Note-TLE8110EE_driving_UniPolarStepperMotor_V1.1.pdf?fileId=db3a30431be39b97011be5d0aa0a00b0"
R1 R2 R5 R6 R8 R9 R12 R13 R15 R16 R19 R20 R22 R23 R26 R27 R29 R30 R33 R34 R36 R37 R40 R41 R43 R44 R47 R48 R50 R51 R54 R55 R57 R58 R61 R62 R64 R65 R68 R69 ,40,"47","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R3 R4 R10 R11 R17 R18 R24 R25 R31 R32 R38 R39 R45 R46 R52 R53 R59 R60 R66 R67 ,20,"82m","Resistors:GMR50HJBFWR082","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/gmr-e.pdf","82m","Y","R","","","","","","","","","",""
R7 R14 R21 R28 R35 R42 R49 R56 R63 R70 ,10,"MCR03EZPFL","Resistors:MCR03EZPFL","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-low-e.pdf"
R71 R82 ,2,"19.6k","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R72 R73 R83 R84 ,4,"2.2","Resistors:MCR03EZPFL","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-low-e.pdf"
R74 R75 ,2,"7m","Resistors:UCR18EVH","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ucr-e.pdf"
R76 R77 ,2,"118k","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R78 R79 ,2,"10.4k","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R80 R81 ,2,"6.81k","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R85 ,1,"12m","Resistors:UCR18EVH","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ucr-e.pdf"
R86 ,1,"15m","Resistors:UCR18EVH","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ucr-e.pdf"
R87 ,1,"215k","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R88 ,1,"11.3k","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R89 ,1,"6.19k","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R90 ,1,"8.87K","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
R91 R92 ,2,"11","Resistors:MCR03EZPFX","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf"
U1 U2 U3 U4 U6 U7 U8 U9 U11 U12 U13 U14 U16 U17 U18 U19 U21 U22 U23 U24 U26 U27 U28 U29 U31 U32 U33 U34 U36 U37 U38 U39 U41 U42 U43 U44 U46 U47 U48 U49 ,40,"UT6K3","E-MOSFETs:UT6K3TCR","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/ut6k3tcr-e.pdf","UT6K3_DUAL","Y","X","/home/abode/data/work/circuits_design/ngspice/vendors/E-MOSFETs.lib","","","","","","","","",""
U5 U10 U15 U20 U25 U30 U35 U40 U45 U50 ,10,"TMC5160-WA","ICs:TMC5160-WA","https://www.trinamic.com/fileadmin/assets/Products/ICs_Documents/TMC5160A_datasheet_rev1.17.pdf"
U51 U52 ,2,"LM5143","ICs:LM5143RHAR","https://www.ti.com/lit/gpn/lm5143"
